,positive,negative,ambiguous,neutral
positive,0.8872366790582404,0.006815365551425031,0.011771995043370507,0.09417596034696406
negative,0.19863013698630136,0.4041095890410959,0.03424657534246575,0.363013698630137
ambiguous,0.2508710801393728,0.027874564459930314,0.4634146341463415,0.2578397212543554
neutral,0.11072362685265912,0.025283347863993024,0.02789886660854403,0.8360941586748039
