,positive,negative,ambiguous,neutral
positive,0.8609221466364324,0.0,0.0,0.13907785336356765
negative,0.2808988764044944,0.0,0.0,0.7191011235955056
ambiguous,0.3877551020408163,0.0,0.0,0.6122448979591837
neutral,0.07469654528478058,0.0,0.0,0.9253034547152195
